label,run_dir,task,block,step,loss,g_mean,g_frac>0.5,lr,g_b0_Q1,g_b0_Q2,g_b0_Q3,g_b0_Q4
smoke_v033_no_logic,C:\Users\andre\Documents\_projects\_memformer\runs\dncformer-20250903-164001-smoke_v033_no_logic,apps,0,20,1.3161900043487549,0.08790569752454758,0.00299072265625,0.00019999999494757503,,,,
smoke_v033_no_logic,C:\Users\andre\Documents\_projects\_memformer\runs\dncformer-20250903-164001-smoke_v033_no_logic,apps,1,20,1.3161900043487549,4.71029597974848e-05,0.0,0.00019999999494757503,,,,
smoke_v033_no_logic,C:\Users\andre\Documents\_projects\_memformer\runs\dncformer-20250903-164001-smoke_v033_no_logic,apps,0,40,1.2947299480438232,0.003982100635766983,0.0,0.0001945723342942074,,,,
smoke_v033_no_logic,C:\Users\andre\Documents\_projects\_memformer\runs\dncformer-20250903-164001-smoke_v033_no_logic,apps,1,40,1.2947299480438232,0.012945814058184624,6.103515625e-05,0.0001945723342942074,,,,
smoke_v033_no_logic,C:\Users\andre\Documents\_projects\_memformer\runs\dncformer-20250903-164001-smoke_v033_no_logic,apps,0,50,1.225763201713562,1.0951387139357394e-06,0.0,0.0001879422925412655,,,,
smoke_v033_no_logic,C:\Users\andre\Documents\_projects\_memformer\runs\dncformer-20250903-164001-smoke_v033_no_logic,apps,1,50,1.225763201713562,1.8485015740310473e-09,0.0,0.0001879422925412655,,,,
smoke_v033_no_logic,C:\Users\andre\Documents\_projects\_memformer\runs\dncformer-20250903-164001-smoke_v033_no_logic,apps,0,70,1.15776789188385,1.0012114159962948e-07,0.0,0.000167850885191001,,,,
smoke_v033_no_logic,C:\Users\andre\Documents\_projects\_memformer\runs\dncformer-20250903-164001-smoke_v033_no_logic,apps,1,70,1.15776789188385,4.7724324492293135e-11,0.0,0.000167850885191001,,,,
smoke_v033_no_logic,C:\Users\andre\Documents\_projects\_memformer\runs\dncformer-20250903-164001-smoke_v033_no_logic,apps,0,80,1.1091666221618652,9.3119126631791e-08,0.0,0.00015500000154133886,,,,
smoke_v033_no_logic,C:\Users\andre\Documents\_projects\_memformer\runs\dncformer-20250903-164001-smoke_v033_no_logic,apps,1,80,1.1091666221618652,2.7191145168803388e-11,0.0,0.00015500000154133886,,,,
smoke_v033_no_logic,C:\Users\andre\Documents\_projects\_memformer\runs\dncformer-20250903-164001-smoke_v033_no_logic,apps,0,120,1.0465444326400757,8.375172910746187e-08,0.0,9.43716659094207e-05,,,,
smoke_v033_no_logic,C:\Users\andre\Documents\_projects\_memformer\runs\dncformer-20250903-164001-smoke_v033_no_logic,apps,1,120,1.0465444326400757,2.395992258763524e-11,0.0,9.43716659094207e-05,,,,
smoke_v033_no_logic,C:\Users\andre\Documents\_projects\_memformer\runs\dncformer-20250903-164001-smoke_v033_no_logic,gsm8k,0,10,1.9232449531555176,0.0031211236491799355,0.00048828125,9.999999747378752e-05,,,,
smoke_v033_no_logic,C:\Users\andre\Documents\_projects\_memformer\runs\dncformer-20250903-164001-smoke_v033_no_logic,gsm8k,1,10,1.9232449531555176,4.118733158975374e-06,0.0,9.999999747378752e-05,,,,
smoke_v033_no_logic,C:\Users\andre\Documents\_projects\_memformer\runs\dncformer-20250903-164001-smoke_v033_no_logic,gsm8k,0,60,1.841925024986267,1.7061077528524038e-07,0.0,0.00017894399934448302,,,,
smoke_v033_no_logic,C:\Users\andre\Documents\_projects\_memformer\runs\dncformer-20250903-164001-smoke_v033_no_logic,gsm8k,1,60,1.841925024986267,2.478365013214301e-10,0.0,0.00017894399934448302,,,,
smoke_v033_no_logic,C:\Users\andre\Documents\_projects\_memformer\runs\dncformer-20250903-164001-smoke_v033_no_logic,gsm8k,0,90,1.7146636247634888,7.380776878562756e-08,0.0,0.00014078181993681937,,,,
smoke_v033_no_logic,C:\Users\andre\Documents\_projects\_memformer\runs\dncformer-20250903-164001-smoke_v033_no_logic,gsm8k,1,90,1.7146636247634888,5.286276971716575e-11,0.0,0.00014078181993681937,,,,
smoke_v033_no_logic,C:\Users\andre\Documents\_projects\_memformer\runs\dncformer-20250903-164001-smoke_v033_no_logic,gsm8k,0,110,1.6516916751861572,7.784433364577126e-08,0.0,0.00011000000085914508,,,,
smoke_v033_no_logic,C:\Users\andre\Documents\_projects\_memformer\runs\dncformer-20250903-164001-smoke_v033_no_logic,gsm8k,1,110,1.6516916751861572,4.3738273419746676e-11,0.0,0.00011000000085914508,,,,
smoke_v033_no_logic,C:\Users\andre\Documents\_projects\_memformer\runs\dncformer-20250903-164001-smoke_v033_no_logic,gsm8k,0,160,1.8594615459442139,8.67578435759242e-08,0.0,4.1055998735828325e-05,,,,
smoke_v033_no_logic,C:\Users\andre\Documents\_projects\_memformer\runs\dncformer-20250903-164001-smoke_v033_no_logic,gsm8k,1,160,1.8594615459442139,5.626627289090358e-11,0.0,4.1055998735828325e-05,,,,
smoke_v033_no_logic,C:\Users\andre\Documents\_projects\_memformer\runs\dncformer-20250903-164001-smoke_v033_no_logic,mbpp,0,100,1.2661656141281128,4.678950205061483e-08,0.0,0.00012562834308482707,,,,
smoke_v033_no_logic,C:\Users\andre\Documents\_projects\_memformer\runs\dncformer-20250903-164001-smoke_v033_no_logic,mbpp,1,100,1.2661656141281128,8.525220113186904e-11,0.0,0.00012562834308482707,,,,
smoke_v033_no_logic,C:\Users\andre\Documents\_projects\_memformer\runs\dncformer-20250903-164001-smoke_v033_no_logic,mbpp,0,130,0.889678955078125,4.8959762466438406e-08,0.0,7.921818905742839e-05,,,,
smoke_v033_no_logic,C:\Users\andre\Documents\_projects\_memformer\runs\dncformer-20250903-164001-smoke_v033_no_logic,mbpp,1,130,0.889678955078125,5.78569067655188e-11,0.0,7.921818905742839e-05,,,,
smoke_v033_no_logic,C:\Users\andre\Documents\_projects\_memformer\runs\dncformer-20250903-164001-smoke_v033_no_logic,mbpp,0,150,1.0099912881851196,5.261452429294877e-08,0.0,5.214911652728915e-05,,,,
smoke_v033_no_logic,C:\Users\andre\Documents\_projects\_memformer\runs\dncformer-20250903-164001-smoke_v033_no_logic,mbpp,1,150,1.0099912881851196,7.530863432858581e-11,0.0,5.214911652728915e-05,,,,
smoke_v033_no_logic,C:\Users\andre\Documents\_projects\_memformer\runs\dncformer-20250903-164001-smoke_v033_no_logic,stack,0,30,1.5581703186035156,0.018140513449907303,0.0009765625,0.00019863269699271768,,,,
smoke_v033_no_logic,C:\Users\andre\Documents\_projects\_memformer\runs\dncformer-20250903-164001-smoke_v033_no_logic,stack,1,30,1.5581703186035156,0.0003073004772886634,0.0,0.00019863269699271768,,,,
smoke_v033_no_logic,C:\Users\andre\Documents\_projects\_memformer\runs\dncformer-20250903-164001-smoke_v033_no_logic,stack,0,140,1.0053842067718506,6.410408559531788e-08,0.0,6.500000017695129e-05,,,,
smoke_v033_no_logic,C:\Users\andre\Documents\_projects\_memformer\runs\dncformer-20250903-164001-smoke_v033_no_logic,stack,1,140,1.0053842067718506,2.921236516573167e-11,0.0,6.500000017695129e-05,,,,
